n_agents,n_arms,agent_to_arm_ratio,arms_per_agent,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
100,100,1.0,1,1.0,0.01,25,1000,474796.4887537252,4747.964887537252,1.0,1253.8943047878674
100,100,1.0,1,1.0,0.01,26,1000,461967.26947700116,4619.672694770012,1.0,1374.5562964479188
100,100,1.0,1,1.0,0.01,27,1000,468082.71237365867,4680.827123736587,1.0,1420.75015651528
100,100,1.0,1,1.0,0.01,28,1000,480448.6196445562,4804.486196445562,1.0,1662.2050849457296
100,100,1.0,1,1.0,0.01,29,1000,481272.54823186755,4812.725482318676,1.0,1482.3184718151472
100,100,1.0,1,1.0,0.01,30,1000,460353.02397599426,4603.530239759943,1.0,1514.9353177824864
100,100,1.0,1,1.0,0.01,31,1000,465341.6919331335,4653.4169193313355,1.0,1200.554026228501
100,100,1.0,1,1.0,0.01,32,1000,478459.68506573676,4784.596850657367,1.0,1280.3075308688808
100,100,1.0,1,1.0,0.01,33,1000,478574.87812396954,4785.748781239696,1.0,1360.131061573649
100,100,1.0,1,1.0,0.01,34,1000,458850.1204310794,4588.5012043107945,1.0,1467.5734414362485
100,100,1.0,1,1.0,0.01,35,1000,463238.41575563455,4632.384157556346,1.0,1432.1716506901482
100,100,1.0,1,1.0,0.01,36,1000,474407.19552975794,4744.07195529758,1.0,1439.5589720558023
100,100,1.0,1,1.0,0.01,37,1000,478995.1310582139,4789.951310582139,1.0,1504.6583313864887
100,100,1.0,1,1.0,0.01,38,1000,475647.7125060077,4756.477125060077,1.0,1388.5770598756421
100,100,1.0,1,1.0,0.01,39,1000,476716.0833711647,4767.160833711647,1.0,1453.872009580081
100,100,1.0,1,1.0,0.01,40,1000,470541.2424985536,4705.412424985536,1.0,1436.6624310460304
100,100,1.0,1,1.0,0.01,41,1000,472125.1708552192,4721.251708552192,1.0,1454.986311314152
100,100,1.0,1,1.0,0.01,42,1000,477826.4285434965,4778.264285434965,1.0,1445.6099346694978
100,100,1.0,1,1.0,0.01,43,1000,454939.688872256,4549.39688872256,1.0,1325.620717597732
100,100,1.0,1,1.0,0.01,44,1000,472721.7909332436,4727.217909332436,1.0,1382.149644433163
100,100,1.0,1,1.0,0.01,45,1000,482815.9630025211,4828.15963002521,1.0,1642.912289896442
100,100,1.0,1,1.0,0.01,46,1000,465306.11480288306,4653.061148028831,1.0,1300.8852552922003
100,100,1.0,1,1.0,0.01,47,1000,472761.50857786404,4727.615085778641,1.0,1419.8705144198746
