n_agents,n_arms,agent_to_arm_ratio,agents_per_arm,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
100,50,2.0,2,1.0,0.01,44,1000,102090.71416050056,1020.9071416050056,1.0,275.16475851765944
100,50,2.0,2,1.0,0.01,45,1000,99981.58571040865,999.8158571040865,1.0,278.9295239948431
100,50,2.0,2,1.0,0.01,46,1000,99859.56571618025,998.5956571618025,1.0,328.3736583486307
100,50,2.0,2,1.0,0.01,47,1000,100846.61762011031,1008.466176201103,1.0,281.94492776357987
100,50,2.0,2,1.0,0.01,48,1000,100692.27360678547,1006.9227360678547,1.0,312.17010567660617
100,50,2.0,2,1.0,0.01,49,1000,100197.72137048696,1001.9772137048697,1.0,309.5301266512261
100,50,2.0,2,1.0,0.02,0,1000,105915.52092158502,1059.1552092158502,1.0,194.3441722152193
100,50,2.0,2,1.0,0.02,1,1000,103658.64911993316,1036.5864911993317,1.0,181.63942190784158
100,50,2.0,2,1.0,0.02,2,1000,105744.79388549115,1057.4479388549114,1.0,170.9457137238266
100,50,2.0,2,1.0,0.02,3,1000,102456.93154473531,1024.5693154473531,1.0,167.07163722857365
100,50,2.0,2,1.0,0.02,4,1000,104244.79416276547,1042.4479416276547,1.0,161.13609131563118
100,50,2.0,2,1.0,0.02,5,1000,103552.84163247066,1035.5284163247065,1.0,184.7326586968955
100,50,2.0,2,1.0,0.02,6,1000,105195.78249118695,1051.9578249118695,1.0,173.99170577794357
100,50,2.0,2,1.0,0.02,7,1000,105026.01418148924,1050.2601418148924,1.0,187.94959721512086
100,50,2.0,2,1.0,0.02,8,1000,104275.53699660742,1042.755369966074,1.0,159.45467154253913
100,50,2.0,2,1.0,0.02,9,1000,105045.86384191924,1050.4586384191925,1.0,172.65932062456957
100,50,2.0,2,1.0,0.02,10,1000,103953.98716744495,1039.5398716744496,1.0,177.29021559277228
100,50,2.0,2,1.0,0.02,11,1000,104071.44189593855,1040.7144189593855,1.0,191.4937770164004
100,50,2.0,2,1.0,0.02,12,1000,102970.4169799323,1029.704169799323,1.0,150.5234553669316
100,50,2.0,2,1.0,0.02,13,1000,104960.92854423147,1049.6092854423148,1.0,194.24897644750834
100,50,2.0,2,1.0,0.02,14,1000,104371.5200985682,1043.715200985682,1.0,182.43494615329703
100,50,2.0,2,1.0,0.02,15,1000,103900.24797427258,1039.0024797427259,1.0,183.471517996647
100,50,2.0,2,1.0,0.02,16,1000,104591.19476469094,1045.9119476469093,1.0,186.3863156122846
100,50,2.0,2,1.0,0.02,17,1000,104662.64902427774,1046.6264902427774,1.0,166.64084550663583
100,50,2.0,2,1.0,0.02,18,1000,103779.08137403235,1037.7908137403235,1.0,166.53723245640802
100,50,2.0,2,1.0,0.02,19,1000,103957.52046023497,1039.5752046023497,1.0,185.65453326674356
100,50,2.0,2,1.0,0.02,20,1000,104440.77077451724,1044.4077077451723,1.0,158.27195126761652
100,50,2.0,2,1.0,0.02,21,1000,103448.64572108998,1034.4864572108997,1.0,170.9615471592614
100,50,2.0,2,1.0,0.02,22,1000,104392.04245613655,1043.9204245613655,1.0,176.8441972688181
100,50,2.0,2,1.0,0.02,23,1000,104878.3133270822,1048.783133270822,1.0,184.27565204967516
100,50,2.0,2,1.0,0.02,24,1000,104692.47692061744,1046.9247692061745,1.0,178.7306190636114
100,50,2.0,2,1.0,0.02,25,1000,104744.2413763786,1047.4424137637861,1.0,163.38609436305907
100,50,2.0,2,1.0,0.02,26,1000,104351.10373585441,1043.5110373585442,1.0,179.0292111707513
100,50,2.0,2,1.0,0.02,27,1000,104111.12093330397,1041.1112093330398,1.0,177.74187222844523
100,50,2.0,2,1.0,0.02,28,1000,103978.32390649576,1039.7832390649576,1.0,171.1311769838126
100,50,2.0,2,1.0,0.02,29,1000,104666.51477733116,1046.6651477733117,1.0,195.91742221651677
100,50,2.0,2,1.0,0.02,30,1000,104484.49490024791,1044.844949002479,1.0,175.02894393047524
100,50,2.0,2,1.0,0.02,31,1000,104423.34587286864,1044.2334587286864,1.0,187.61346453807803
100,50,2.0,2,1.0,0.02,32,1000,104098.29774460016,1040.9829774460015,1.0,161.21751751590858
100,50,2.0,2,1.0,0.02,33,1000,105443.40473838292,1054.4340473838292,1.0,193.5117781532897
100,50,2.0,2,1.0,0.02,34,1000,103052.82831029317,1030.5282831029317,1.0,170.32036088527107
100,50,2.0,2,1.0,0.02,35,1000,105220.86422874905,1052.2086422874904,1.0,179.77271551351765
100,50,2.0,2,1.0,0.02,36,1000,104451.56049043467,1044.5156049043467,1.0,185.61936302483812
100,50,2.0,2,1.0,0.02,37,1000,104624.17965880227,1046.2417965880227,1.0,186.5596387387023
100,50,2.0,2,1.0,0.02,38,1000,105432.49599142851,1054.324959914285,1.0,184.5745563129167
100,50,2.0,2,1.0,0.02,39,1000,105122.82859961005,1051.2282859961006,1.0,219.9917280637735
100,50,2.0,2,1.0,0.02,40,1000,104923.68203326566,1049.2368203326566,1.0,195.88051346988948
100,50,2.0,2,1.0,0.02,41,1000,103610.1459605089,1036.101459605089,1.0,165.8914913599644
100,50,2.0,2,1.0,0.02,42,1000,103572.90169181203,1035.7290169181204,1.0,160.75132439312557
100,50,2.0,2,1.0,0.02,43,1000,103338.56649705973,1033.3856649705972,1.0,174.42919721246378
100,50,2.0,2,1.0,0.02,44,1000,103837.38909888048,1038.3738909888048,1.0,189.11111474911613
100,50,2.0,2,1.0,0.02,45,1000,105186.78940429456,1051.8678940429456,1.0,188.81907987781463
100,50,2.0,2,1.0,0.02,46,1000,104414.6299881867,1044.146299881867,1.0,198.6607983236738
100,50,2.0,2,1.0,0.02,47,1000,104046.52191134907,1040.4652191134908,1.0,160.83761212234867
100,50,2.0,2,1.0,0.02,48,1000,104549.14313918204,1045.4914313918205,1.0,208.09463329310896
100,50,2.0,2,1.0,0.02,49,1000,104742.63066368054,1047.4263066368053,1.0,195.0341142794915
100,50,2.0,2,1.0,0.03,0,1000,104941.14178050811,1049.411417805081,1.0,132.63051157444505
100,50,2.0,2,1.0,0.03,1,1000,104869.1049079749,1048.691049079749,1.0,133.38954285155
100,50,2.0,2,1.0,0.03,2,1000,105533.94791502562,1055.3394791502562,1.0,133.99259303983763
100,50,2.0,2,1.0,0.03,3,1000,105764.4031472863,1057.644031472863,1.0,148.04484464043622
100,50,2.0,2,1.0,0.03,4,1000,105726.16788001696,1057.2616788001696,1.0,132.9423792410545
100,50,2.0,2,1.0,0.03,5,1000,105421.71599035982,1054.2171599035983,1.0,131.3553226375988
100,50,2.0,2,1.0,0.03,6,1000,105342.30208633156,1053.4230208633155,1.0,145.9711216412098
100,50,2.0,2,1.0,0.03,7,1000,104550.72917162733,1045.5072917162734,1.0,152.20222628924375
100,50,2.0,2,1.0,0.03,8,1000,105750.06216464938,1057.5006216464938,1.0,166.85402280106985
100,50,2.0,2,1.0,0.03,9,1000,105637.94290444693,1056.3794290444694,1.0,151.94127942098092
100,50,2.0,2,1.0,0.03,10,1000,105147.46062953057,1051.4746062953056,1.0,156.67743201731227
100,50,2.0,2,1.0,0.03,11,1000,105676.50733409388,1056.765073340939,1.0,144.79568175921764
100,50,2.0,2,1.0,0.03,12,1000,105492.85751432434,1054.9285751432433,1.0,147.2294085469369
100,50,2.0,2,1.0,0.03,13,1000,105454.32103808413,1054.5432103808414,1.0,153.46586455143517
100,50,2.0,2,1.0,0.03,14,1000,106021.5269911425,1060.215269911425,1.0,159.74934625536807
100,50,2.0,2,1.0,0.03,15,1000,105760.71380005745,1057.6071380005744,1.0,148.15321006947474
100,50,2.0,2,1.0,0.03,16,1000,106039.77350973806,1060.3977350973807,1.0,157.6318165142681
100,50,2.0,2,1.0,0.03,17,1000,105642.30569095757,1056.4230569095757,1.0,154.9998299554748
100,50,2.0,2,1.0,0.03,18,1000,105311.75123911347,1053.1175123911346,1.0,155.05194746357668
100,50,2.0,2,1.0,0.03,19,1000,105047.57944190872,1050.4757944190872,1.0,149.39222129870936
100,50,2.0,2,1.0,0.03,20,1000,104435.30956145929,1044.3530956145928,1.0,144.7544684789548
100,50,2.0,2,1.0,0.03,21,1000,106049.31927423282,1060.4931927423283,1.0,146.9182862396709
100,50,2.0,2,1.0,0.03,22,1000,105348.40597530415,1053.4840597530415,1.0,148.54680154299726
100,50,2.0,2,1.0,0.03,23,1000,105281.94677169494,1052.8194677169495,1.0,160.17595095720597
100,50,2.0,2,1.0,0.03,24,1000,105253.45328670806,1052.5345328670805,1.0,140.14755503627376
100,50,2.0,2,1.0,0.03,25,1000,103958.07851471449,1039.580785147145,1.0,137.9318726466671
100,50,2.0,2,1.0,0.03,26,1000,104867.48175061568,1048.6748175061568,1.0,150.67807773532718
100,50,2.0,2,1.0,0.03,27,1000,104537.04051437526,1045.3704051437526,1.0,141.06564199984854
100,50,2.0,2,1.0,0.03,28,1000,104798.92123157515,1047.9892123157515,1.0,157.4150926951388
100,50,2.0,2,1.0,0.03,29,1000,105305.08683416605,1053.0508683416606,1.0,144.74463517493774
100,50,2.0,2,1.0,0.03,30,1000,105307.50901399631,1053.075090139963,1.0,137.7544424255262
100,50,2.0,2,1.0,0.03,31,1000,105051.5359398776,1050.5153593987761,1.0,146.59582828162863
100,50,2.0,2,1.0,0.03,32,1000,104860.81364299283,1048.6081364299282,1.0,135.47385560954018
100,50,2.0,2,1.0,0.03,33,1000,105810.00748267317,1058.1000748267318,1.0,153.12825108152035
100,50,2.0,2,1.0,0.03,34,1000,105564.30455429395,1055.6430455429395,1.0,148.12774739043778
100,50,2.0,2,1.0,0.03,35,1000,106695.31276304196,1066.9531276304197,1.0,144.6362081480483
100,50,2.0,2,1.0,0.03,36,1000,105292.96907880095,1052.9296907880096,1.0,142.58166672435084
100,50,2.0,2,1.0,0.03,37,1000,104924.46663289837,1049.2446663289838,1.0,163.64072804122105
100,50,2.0,2,1.0,0.03,38,1000,106336.53635217881,1063.3653635217881,1.0,159.06905183594904
100,50,2.0,2,1.0,0.03,39,1000,104985.4661030251,1049.854661030251,1.0,131.31205104418916
100,50,2.0,2,1.0,0.03,40,1000,105120.24994461707,1051.2024994461708,1.0,160.48499152521165
100,50,2.0,2,1.0,0.03,41,1000,105051.76146726744,1050.5176146726744,1.0,133.28511375885648
100,50,2.0,2,1.0,0.03,42,1000,105346.42983664035,1053.4642983664035,1.0,127.93541111738259
100,50,2.0,2,1.0,0.03,43,1000,105357.39277842708,1053.5739277842708,1.0,152.22485169806856
100,50,2.0,2,1.0,0.03,44,1000,104615.61914120306,1046.1561914120307,1.0,145.59358764219843
100,50,2.0,2,1.0,0.03,45,1000,105102.84590630997,1051.0284590630997,1.0,152.03349100017252
100,50,2.0,2,1.0,0.03,46,1000,104373.76915255922,1043.7376915255923,1.0,151.26795492450634
100,50,2.0,2,1.0,0.03,47,1000,106058.30903700934,1060.5830903700935,1.0,142.62314247202337
100,50,2.0,2,1.0,0.03,48,1000,105118.42468605202,1051.1842468605203,1.0,157.80738612647696
100,50,2.0,2,1.0,0.03,49,1000,104473.73475577815,1044.7373475577815,1.0,164.2662562078622
100,50,2.0,2,1.0,0.04,0,1000,105434.38173039469,1054.343817303947,1.0,121.04688827097338
100,50,2.0,2,1.0,0.04,1,1000,106271.54970732423,1062.7154970732422,1.0,140.32256887746783
100,50,2.0,2,1.0,0.04,2,1000,104672.12801147978,1046.7212801147978,1.0,136.46156622149772
100,50,2.0,2,1.0,0.04,3,1000,105498.98097341685,1054.9898097341686,1.0,138.86815049602467
100,50,2.0,2,1.0,0.04,4,1000,106114.89257669052,1061.1489257669052,1.0,122.11902300395167
100,50,2.0,2,1.0,0.04,5,1000,106477.98244659572,1064.7798244659573,1.0,127.78175816638247
100,50,2.0,2,1.0,0.04,6,1000,106094.3488289583,1060.943488289583,1.0,144.30356534477238
100,50,2.0,2,1.0,0.04,7,1000,105528.64310436056,1055.2864310436055,1.0,123.15598215316089
100,50,2.0,2,1.0,0.04,8,1000,105432.61093831777,1054.3261093831777,1.0,131.00658355305347
100,50,2.0,2,1.0,0.04,9,1000,105441.8492867545,1054.418492867545,1.0,136.04987939855945
100,50,2.0,2,1.0,0.04,10,1000,105861.59798322497,1058.6159798322496,1.0,124.96145766648668
100,50,2.0,2,1.0,0.04,11,1000,105397.24727345421,1053.9724727345422,1.0,136.41077739687213
100,50,2.0,2,1.0,0.04,12,1000,105961.841326534,1059.61841326534,1.0,136.26758275672967
100,50,2.0,2,1.0,0.04,13,1000,105068.760257541,1050.68760257541,1.0,133.6132865582852
100,50,2.0,2,1.0,0.04,14,1000,106338.43675427856,1063.3843675427856,1.0,152.6401304864667
100,50,2.0,2,1.0,0.04,15,1000,105132.90642683677,1051.3290642683676,1.0,137.14513219311127
100,50,2.0,2,1.0,0.04,16,1000,105798.74444360165,1057.9874444360166,1.0,132.73496063879477
100,50,2.0,2,1.0,0.04,17,1000,105742.25962512568,1057.4225962512567,1.0,143.01581597676466
100,50,2.0,2,1.0,0.04,18,1000,104414.34486806474,1044.1434486806475,1.0,140.07511201311397
100,50,2.0,2,1.0,0.04,19,1000,104948.4797423988,1049.484797423988,1.0,120.0957480385696
100,50,2.0,2,1.0,0.04,20,1000,105888.0672723173,1058.8806727231731,1.0,129.60497915972647
100,50,2.0,2,1.0,0.04,21,1000,105442.73224261626,1054.4273224261626,1.0,139.56746658576878
100,50,2.0,2,1.0,0.04,22,1000,105479.92423684619,1054.7992423684618,1.0,127.02708369623183
100,50,2.0,2,1.0,0.04,23,1000,105026.75367526893,1050.2675367526892,1.0,126.3421619979823
100,50,2.0,2,1.0,0.04,24,1000,105808.60240761786,1058.0860240761785,1.0,141.4269388827468
100,50,2.0,2,1.0,0.04,25,1000,106190.21170035774,1061.9021170035774,1.0,140.5891926442863
100,50,2.0,2,1.0,0.04,26,1000,105358.10097344292,1053.5810097344292,1.0,124.8569052057425
100,50,2.0,2,1.0,0.04,27,1000,106225.83770863386,1062.2583770863387,1.0,134.46416381537315
100,50,2.0,2,1.0,0.04,28,1000,106070.46400455151,1060.7046400455151,1.0,130.3103066715675
100,50,2.0,2,1.0,0.04,29,1000,106241.92572581461,1062.419257258146,1.0,139.42962874495495
100,50,2.0,2,1.0,0.04,30,1000,106292.07084005614,1062.9207084005614,1.0,123.83734853038692
100,50,2.0,2,1.0,0.04,31,1000,105465.82315917811,1054.658231591781,1.0,125.68176287794735
