collision_policy,n_agents,n_arms,agent_to_arm_ratio,arms_per_agent,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
full_value,100,100,1.0,1,1.0,0.01,33,1000,862505.0910925055,8625.050910925054,1.0,1652.8525611009193
full_value,100,100,1.0,1,1.0,0.01,34,1000,828915.4198256783,8289.154198256783,1.0,1787.7195578431338
full_value,100,100,1.0,1,1.0,0.01,35,1000,860268.0826209317,8602.680826209316,1.0,1637.8955854615424
full_value,100,100,1.0,1,1.0,0.01,36,1000,819530.0786067459,8195.300786067459,1.0,1851.616745547566
full_value,100,100,1.0,1,1.0,0.01,37,1000,858606.8118838738,8586.068118838737,1.0,1552.15398923547
full_value,100,100,1.0,1,1.0,0.01,38,1000,854799.3169974939,8547.993169974938,1.0,1754.7138699604423
full_value,100,100,1.0,1,1.0,0.01,39,1000,872811.3950613803,8728.113950613804,1.0,1706.503348039053
full_value,100,100,1.0,1,1.0,0.01,40,1000,829100.1049528731,8291.001049528732,1.0,1782.0084845112074
full_value,100,100,1.0,1,1.0,0.01,41,1000,877651.0680371056,8776.510680371057,1.0,1619.7197326044352
full_value,100,100,1.0,1,1.0,0.01,42,1000,838112.9594555376,8381.129594555376,1.0,1781.134806288714
full_value,100,100,1.0,1,1.0,0.01,43,1000,825813.6384829925,8258.136384829926,1.0,1739.9646411855567
full_value,100,100,1.0,1,1.0,0.01,44,1000,852786.9985173221,8527.869985173222,1.0,1714.2819777622578
full_value,100,100,1.0,1,1.0,0.01,45,1000,840969.2750898832,8409.692750898832,1.0,1870.0714422349822
full_value,100,100,1.0,1,1.0,0.01,46,1000,858895.361412372,8588.95361412372,1.0,1554.5708942992826
full_value,100,100,1.0,1,1.0,0.01,47,1000,842396.404190836,8423.96404190836,1.0,1764.2192588060834
full_value,100,100,1.0,1,1.0,0.01,48,1000,851207.0430303293,8512.070430303293,1.0,1619.6496504751683
full_value,100,100,1.0,1,1.0,0.01,49,1000,810084.371733083,8100.84371733083,1.0,1939.6225919651138
full_value,100,100,1.0,1,1.0,0.02,0,1000,995693.465966887,9956.93465966887,1.0,1017.0822494378824
full_value,100,100,1.0,1,1.0,0.02,1,1000,973978.5874796836,9739.785874796835,1.0,1250.1037904789437
full_value,100,100,1.0,1,1.0,0.02,2,1000,979708.3832249669,9797.08383224967,1.0,1210.4734693895946
full_value,100,100,1.0,1,1.0,0.02,3,1000,979442.3346628443,9794.423346628442,1.0,973.1760583940916
full_value,100,100,1.0,1,1.0,0.02,4,1000,960080.8128729672,9600.808128729672,1.0,1182.0314005465323
full_value,100,100,1.0,1,1.0,0.02,5,1000,967589.3350633292,9675.893350633292,1.0,1291.7342058330876
full_value,100,100,1.0,1,1.0,0.02,6,1000,978934.77429479,9789.3477429479,1.0,1093.479015427694
full_value,100,100,1.0,1,1.0,0.02,7,1000,977421.8116089809,9774.218116089809,1.0,1118.337809558935
full_value,100,100,1.0,1,1.0,0.02,8,1000,978744.0222945502,9787.440222945503,1.0,1237.1348792290294
full_value,100,100,1.0,1,1.0,0.02,9,1000,970367.8658619843,9703.678658619843,1.0,1068.460364808843
full_value,100,100,1.0,1,1.0,0.02,10,1000,978731.4368513611,9787.314368513611,1.0,989.9015495171141
full_value,100,100,1.0,1,1.0,0.02,11,1000,958581.5678951262,9585.815678951261,1.0,1112.4382764193774
full_value,100,100,1.0,1,1.0,0.02,12,1000,985817.770256321,9858.17770256321,1.0,986.8493706470841
full_value,100,100,1.0,1,1.0,0.02,13,1000,967291.0167726555,9672.910167726555,1.0,1138.2662752954302
full_value,100,100,1.0,1,1.0,0.02,14,1000,954210.1626776521,9542.10162677652,1.0,1134.5800148425167
full_value,100,100,1.0,1,1.0,0.02,15,1000,966309.5408777961,9663.095408777961,1.0,1093.5505489606307
full_value,100,100,1.0,1,1.0,0.02,16,1000,956009.0002649286,9560.090002649285,1.0,1162.2757275990582
full_value,100,100,1.0,1,1.0,0.02,17,1000,979457.1743278496,9794.571743278497,1.0,1175.3458130110855
full_value,100,100,1.0,1,1.0,0.02,18,1000,970652.6557284277,9706.526557284276,1.0,1114.7094869241141
full_value,100,100,1.0,1,1.0,0.02,19,1000,954971.8921747936,9549.718921747937,1.0,1158.8198892055623
full_value,100,100,1.0,1,1.0,0.02,20,1000,971210.2271692437,9712.102271692438,1.0,1181.2758257202943
full_value,100,100,1.0,1,1.0,0.02,21,1000,970576.0096908655,9705.760096908656,1.0,1020.154779302236
full_value,100,100,1.0,1,1.0,0.02,22,1000,972879.5071197926,9728.795071197927,1.0,970.1450885563936
full_value,100,100,1.0,1,1.0,0.02,23,1000,969578.5109677103,9695.785109677103,1.0,1033.7682621329473
full_value,100,100,1.0,1,1.0,0.02,24,1000,988485.2322783923,9884.852322783923,1.0,1147.7161243205512
full_value,100,100,1.0,1,1.0,0.02,25,1000,998086.8159852588,9980.868159852587,1.0,1037.3552302305961
full_value,100,100,1.0,1,1.0,0.02,26,1000,974691.6917371626,9746.916917371627,1.0,1021.7922944480003
full_value,100,100,1.0,1,1.0,0.02,27,1000,969096.4421772409,9690.964421772409,1.0,886.1024100759225
full_value,100,100,1.0,1,1.0,0.02,28,1000,967474.024129679,9674.74024129679,1.0,1121.170583104011
full_value,100,100,1.0,1,1.0,0.02,29,1000,961386.8090305114,9613.868090305114,1.0,1118.048568277628
full_value,100,100,1.0,1,1.0,0.02,30,1000,954840.5730120991,9548.40573012099,1.0,938.8190182935093
full_value,100,100,1.0,1,1.0,0.02,31,1000,972402.4408074488,9724.024408074489,1.0,1016.7407223816971
full_value,100,100,1.0,1,1.0,0.02,32,1000,988211.1578044809,9882.111578044809,1.0,1016.4777496698276
full_value,100,100,1.0,1,1.0,0.02,33,1000,976973.4669744067,9769.734669744068,1.0,1132.6600353263666
full_value,100,100,1.0,1,1.0,0.02,34,1000,966575.001787982,9665.75001787982,1.0,1270.9381798435645
full_value,100,100,1.0,1,1.0,0.02,35,1000,974617.6558741413,9746.176558741412,1.0,1088.0905832434632
full_value,100,100,1.0,1,1.0,0.02,36,1000,954730.6129650447,9547.306129650447,1.0,1155.2009737859446
full_value,100,100,1.0,1,1.0,0.02,37,1000,957782.6688307791,9577.826688307792,1.0,1117.445661719578
full_value,100,100,1.0,1,1.0,0.02,38,1000,973912.3357763367,9739.123357763367,1.0,1195.8227882613746
full_value,100,100,1.0,1,1.0,0.02,39,1000,978195.3615330895,9781.953615330895,1.0,1000.3319316689873
full_value,100,100,1.0,1,1.0,0.02,40,1000,951270.5472926851,9512.705472926851,1.0,1225.3604478969955
full_value,100,100,1.0,1,1.0,0.02,41,1000,982844.9239532104,9828.449239532103,1.0,1106.776286729497
full_value,100,100,1.0,1,1.0,0.02,42,1000,975451.9255510167,9754.519255510168,1.0,984.5426418787323
full_value,100,100,1.0,1,1.0,0.02,43,1000,965393.935842209,9653.93935842209,1.0,997.4883675518981
full_value,100,100,1.0,1,1.0,0.02,44,1000,974702.6172994897,9747.026172994896,1.0,1110.5469116549748
full_value,100,100,1.0,1,1.0,0.02,45,1000,958706.9863875977,9587.069863875977,1.0,1132.0429946977483
full_value,100,100,1.0,1,1.0,0.02,46,1000,961673.3128689154,9616.733128689153,1.0,1250.3541250780743
full_value,100,100,1.0,1,1.0,0.02,47,1000,962168.863217251,9621.68863217251,1.0,1041.6269114738923
full_value,100,100,1.0,1,1.0,0.02,48,1000,966612.8209420745,9666.128209420745,1.0,1092.1841549835985
full_value,100,100,1.0,1,1.0,0.02,49,1000,965611.9568252524,9656.119568252523,1.0,1101.9522689140078
full_value,100,100,1.0,1,1.0,0.03,0,1000,1024200.5212263148,10242.005212263148,1.0,865.164895246382
full_value,100,100,1.0,1,1.0,0.03,1,1000,1019388.596904529,10193.88596904529,1.0,932.195717629986
full_value,100,100,1.0,1,1.0,0.03,2,1000,1021068.1422620668,10210.681422620668,1.0,774.6983440101227
full_value,100,100,1.0,1,1.0,0.03,3,1000,1015998.2924108877,10159.982924108877,1.0,803.5690252599751
full_value,100,100,1.0,1,1.0,0.03,4,1000,1005082.303414573,10050.82303414573,1.0,829.3994897664865
full_value,100,100,1.0,1,1.0,0.03,5,1000,1025046.9693222551,10250.46969322255,1.0,838.5672212643257
full_value,100,100,1.0,1,1.0,0.03,6,1000,1025940.6939331538,10259.406939331537,1.0,729.770895814577
full_value,100,100,1.0,1,1.0,0.03,7,1000,1016540.3378628981,10165.403378628982,1.0,816.853019892451
full_value,100,100,1.0,1,1.0,0.03,8,1000,1031153.4254552714,10311.534254552715,1.0,752.3341473260735
full_value,100,100,1.0,1,1.0,0.03,9,1000,1031304.8869548728,10313.048869548727,1.0,851.4128373724071
