collision_policy,n_agents,n_arms,agent_to_arm_ratio,arms_per_agent,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
zero_on_collision,100,100,1.0,1,1.0,0.01,37,1000,487467.05657704384,4874.670565770439,1.0,3425.9955999051303
zero_on_collision,100,100,1.0,1,1.0,0.01,38,1000,490628.22676071746,4906.282267607175,1.0,3489.9823512236185
zero_on_collision,100,100,1.0,1,1.0,0.01,39,1000,491160.71000089153,4911.607100008915,1.0,3603.603770718017
zero_on_collision,100,100,1.0,1,1.0,0.01,40,1000,480951.748493535,4809.51748493535,1.0,3353.401491721989
zero_on_collision,100,100,1.0,1,1.0,0.01,41,1000,503746.8599643076,5037.468599643075,1.0,3412.532514317254
zero_on_collision,100,100,1.0,1,1.0,0.01,42,1000,468653.3450994567,4686.533450994567,1.0,3547.383504434907
zero_on_collision,100,100,1.0,1,1.0,0.01,43,1000,471332.2661217705,4713.322661217705,1.0,3397.3675838361632
zero_on_collision,100,100,1.0,1,1.0,0.01,44,1000,495271.2039048677,4952.712039048677,1.0,3525.8194832610566
zero_on_collision,100,100,1.0,1,1.0,0.01,45,1000,489718.33498732344,4897.183349873234,1.0,3507.014055866836
zero_on_collision,100,100,1.0,1,1.0,0.01,46,1000,475122.3689597218,4751.223689597218,1.0,3455.940061579886
zero_on_collision,100,100,1.0,1,1.0,0.01,47,1000,479307.8854507841,4793.078854507841,1.0,3551.2145013319764
zero_on_collision,100,100,1.0,1,1.0,0.01,48,1000,474407.56921570835,4744.075692157084,1.0,3302.11597980812
zero_on_collision,100,100,1.0,1,1.0,0.01,49,1000,488849.1178415998,4888.491178415998,1.0,3325.0969217516836
zero_on_collision,100,100,1.0,1,1.0,0.02,0,1000,509479.70812348585,5094.7970812348585,1.0,3367.970429565031
zero_on_collision,100,100,1.0,1,1.0,0.02,1,1000,530279.7533579387,5302.797533579387,1.0,3305.881723465678
zero_on_collision,100,100,1.0,1,1.0,0.02,2,1000,526531.879308681,5265.31879308681,1.0,3314.4902567210697
zero_on_collision,100,100,1.0,1,1.0,0.02,3,1000,519006.9403232598,5190.069403232598,1.0,3309.1519849453443
zero_on_collision,100,100,1.0,1,1.0,0.02,4,1000,504375.50870803616,5043.755087080362,1.0,3352.088590935483
zero_on_collision,100,100,1.0,1,1.0,0.02,5,1000,504143.1736625606,5041.4317366256055,1.0,3396.84903402872
zero_on_collision,100,100,1.0,1,1.0,0.02,6,1000,516910.4111727546,5169.104111727546,1.0,3302.4878229310757
zero_on_collision,100,100,1.0,1,1.0,0.02,7,1000,504567.82070830825,5045.678207083082,1.0,3420.669431408528
zero_on_collision,100,100,1.0,1,1.0,0.02,8,1000,524473.3575718573,5244.733575718573,1.0,3443.892098571664
zero_on_collision,100,100,1.0,1,1.0,0.02,9,1000,511797.8430543922,5117.978430543922,1.0,3352.285881976013
zero_on_collision,100,100,1.0,1,1.0,0.02,10,1000,518811.7677301526,5188.117677301526,1.0,3192.7976335456815
zero_on_collision,100,100,1.0,1,1.0,0.02,11,1000,509995.00358163816,5099.950035816381,1.0,3307.625638358523
zero_on_collision,100,100,1.0,1,1.0,0.02,12,1000,518222.59259733156,5182.2259259733155,1.0,3391.3228147227233
zero_on_collision,100,100,1.0,1,1.0,0.02,13,1000,517317.79079197004,5173.1779079197,1.0,3256.7670964659064
zero_on_collision,100,100,1.0,1,1.0,0.02,14,1000,513524.11996191315,5135.241199619131,1.0,3382.4293866825938
zero_on_collision,100,100,1.0,1,1.0,0.02,15,1000,517663.98549739894,5176.63985497399,1.0,3418.8172140359907
zero_on_collision,100,100,1.0,1,1.0,0.02,16,1000,519250.8919486569,5192.508919486569,1.0,3393.545531147339
zero_on_collision,100,100,1.0,1,1.0,0.02,17,1000,522812.80102666974,5228.128010266697,1.0,3412.3633245799706
