collision_policy,degradation_strength,n_agents,n_arms,agent_to_arm_ratio,arms_per_agent,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
degradation,0.5,100,100,1.0,1,1.0,0.01,49,1000,421481.37845027505,4214.81378450275,1.0,2032.5337151007695
degradation,0.5,100,100,1.0,1,1.0,0.02,0,1000,433080.2119906079,4330.802119906079,1.0,1426.6477848008358
degradation,0.5,100,100,1.0,1,1.0,0.02,1,1000,443282.4772671208,4432.824772671208,1.0,1458.6209948445824
degradation,0.5,100,100,1.0,1,1.0,0.02,2,1000,445429.0972259561,4454.290972259561,1.0,1430.4884971420333
degradation,0.5,100,100,1.0,1,1.0,0.02,3,1000,449060.24255207216,4490.602425520721,1.0,1631.5642069513308
degradation,0.5,100,100,1.0,1,1.0,0.02,4,1000,450606.23641279456,4506.062364127945,1.0,1585.2633818318363
degradation,0.5,100,100,1.0,1,1.0,0.02,5,1000,438497.3325972562,4384.973325972562,1.0,1365.6809183504681
degradation,0.5,100,100,1.0,1,1.0,0.02,6,1000,441572.88273971964,4415.728827397196,1.0,1587.8243596149243
degradation,0.5,100,100,1.0,1,1.0,0.02,7,1000,440964.2402930606,4409.642402930606,1.0,1366.2855702872985
degradation,0.5,100,100,1.0,1,1.0,0.02,8,1000,444181.2389702991,4441.812389702991,1.0,1617.0665943457911
degradation,0.5,100,100,1.0,1,1.0,0.02,9,1000,439346.6883666582,4393.466883666582,1.0,1589.566522611727
degradation,0.5,100,100,1.0,1,1.0,0.02,10,1000,446866.67765827,4468.6667765827,1.0,1555.1447690162797
degradation,0.5,100,100,1.0,1,1.0,0.02,11,1000,442284.6107385981,4422.846107385981,1.0,1478.7553329507662
degradation,0.5,100,100,1.0,1,1.0,0.02,12,1000,457209.2451746887,4572.092451746887,1.0,1475.0281595984056
degradation,0.5,100,100,1.0,1,1.0,0.02,13,1000,447262.8521545357,4472.628521545357,1.0,1468.580644705364
