collision_policy,n_agents,n_arms,agent_to_arm_ratio,arms_per_agent,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
random_roulette,100,100,1.0,1,1.0,0.02,21,1000,509358.5965749366,5093.585965749366,1.0,1727.0301865343456
random_roulette,100,100,1.0,1,1.0,0.02,22,1000,519286.0348998213,5192.860348998212,1.0,1915.024012986328
random_roulette,100,100,1.0,1,1.0,0.02,23,1000,524062.34222091484,5240.623422209148,1.0,1850.799811472708
random_roulette,100,100,1.0,1,1.0,0.02,24,1000,503120.46999337326,5031.204699933733,1.0,1581.8919296662193
random_roulette,100,100,1.0,1,1.0,0.02,25,1000,508183.4351902593,5081.834351902593,1.0,1589.044903641794
random_roulette,100,100,1.0,1,1.0,0.02,26,1000,505772.98417875,5057.7298417875,1.0,1452.8487981339301
random_roulette,100,100,1.0,1,1.0,0.02,27,1000,505123.4303374291,5051.234303374291,1.0,1733.9893259020723
random_roulette,100,100,1.0,1,1.0,0.02,28,1000,506318.3668779373,5063.183668779373,1.0,1391.4793837680934
random_roulette,100,100,1.0,1,1.0,0.02,29,1000,502689.0923338853,5026.890923338853,1.0,1677.318482140703
random_roulette,100,100,1.0,1,1.0,0.02,30,1000,502807.4371401596,5028.074371401596,1.0,1466.200710047903
random_roulette,100,100,1.0,1,1.0,0.02,31,1000,499827.98782040563,4998.279878204056,1.0,1539.6619930606303
random_roulette,100,100,1.0,1,1.0,0.02,32,1000,505935.63298297784,5059.356329829779,1.0,1379.1555153159186
random_roulette,100,100,1.0,1,1.0,0.02,33,1000,509653.8939206608,5096.538939206608,1.0,1491.8175932775794
random_roulette,100,100,1.0,1,1.0,0.02,34,1000,489518.7235461724,4895.1872354617235,1.0,1556.385102838331
random_roulette,100,100,1.0,1,1.0,0.02,35,1000,507524.21833250683,5075.242183325068,1.0,1689.6032500452543
random_roulette,100,100,1.0,1,1.0,0.02,36,1000,505591.4615499546,5055.914615499546,1.0,1716.8829617401886
random_roulette,100,100,1.0,1,1.0,0.02,37,1000,509373.68578135094,5093.736857813509,1.0,1518.4706880729523
random_roulette,100,100,1.0,1,1.0,0.02,38,1000,504992.21037454344,5049.9221037454345,1.0,1466.388596002937
random_roulette,100,100,1.0,1,1.0,0.02,39,1000,510959.2999009451,5109.592999009451,1.0,1479.4434970937427
random_roulette,100,100,1.0,1,1.0,0.02,40,1000,510589.25642087497,5105.89256420875,1.0,1676.4886507540439
random_roulette,100,100,1.0,1,1.0,0.02,41,1000,502319.1579150702,5023.191579150702,1.0,1425.4856056987785
random_roulette,100,100,1.0,1,1.0,0.02,42,1000,504062.006002264,5040.62006002264,1.0,1457.4371117508006
random_roulette,100,100,1.0,1,1.0,0.02,43,1000,494686.8150041505,4946.868150041505,1.0,1472.85388870567
random_roulette,100,100,1.0,1,1.0,0.02,44,1000,503577.5013285736,5035.775013285736,1.0,1532.3416469320355
random_roulette,100,100,1.0,1,1.0,0.02,45,1000,499440.06459375937,4994.400645937593,1.0,1300.4679023749372
random_roulette,100,100,1.0,1,1.0,0.02,46,1000,505346.8751333605,5053.468751333605,1.0,1507.272619730165
random_roulette,100,100,1.0,1,1.0,0.02,47,1000,508810.0225395504,5088.100225395504,1.0,1544.1330800325388
random_roulette,100,100,1.0,1,1.0,0.02,48,1000,509164.5998331016,5091.645998331016,1.0,1569.0199891732386
random_roulette,100,100,1.0,1,1.0,0.02,49,1000,498536.944073497,4985.36944073497,1.0,1348.7280172137507
random_roulette,100,100,1.0,1,1.0,0.03,0,1000,513180.17204186786,5131.801720418679,1.0,1365.1484166254613
random_roulette,100,100,1.0,1,1.0,0.03,1,1000,510179.1058418396,5101.7910584183965,1.0,1161.6986397979424
random_roulette,100,100,1.0,1,1.0,0.03,2,1000,505579.8384968238,5055.798384968238,1.0,1205.8473773694366
random_roulette,100,100,1.0,1,1.0,0.03,3,1000,510822.26526017755,5108.222652601776,1.0,1374.776077509811
random_roulette,100,100,1.0,1,1.0,0.03,4,1000,505851.2863298485,5058.512863298485,1.0,1255.9820534793812
random_roulette,100,100,1.0,1,1.0,0.03,5,1000,506532.22057162394,5065.322205716239,1.0,1378.3326367156142
random_roulette,100,100,1.0,1,1.0,0.03,6,1000,509296.56903445104,5092.96569034451,1.0,1364.1526502653594
random_roulette,100,100,1.0,1,1.0,0.03,7,1000,502416.2326248224,5024.162326248224,1.0,1262.8726458895765
random_roulette,100,100,1.0,1,1.0,0.03,8,1000,519580.81120043487,5195.808112004349,1.0,1421.4835795683696
random_roulette,100,100,1.0,1,1.0,0.03,9,1000,504844.28677264554,5048.442867726455,1.0,1249.7217978396689
random_roulette,100,100,1.0,1,1.0,0.03,10,1000,508567.2756276431,5085.672756276431,1.0,1131.2316920889866
random_roulette,100,100,1.0,1,1.0,0.03,11,1000,513128.1939413261,5131.281939413261,1.0,1298.1274861719724
random_roulette,100,100,1.0,1,1.0,0.03,12,1000,509915.54418577644,5099.155441857764,1.0,1063.1244007986072
random_roulette,100,100,1.0,1,1.0,0.03,13,1000,507366.9815279618,5073.669815279618,1.0,1283.8003418423903
random_roulette,100,100,1.0,1,1.0,0.03,14,1000,509929.0155155478,5099.290155155479,1.0,1343.3475630731405
random_roulette,100,100,1.0,1,1.0,0.03,15,1000,511085.4878721398,5110.854878721398,1.0,1281.2618892289543
random_roulette,100,100,1.0,1,1.0,0.03,16,1000,505945.81102118036,5059.458110211804,1.0,1365.082316069986
random_roulette,100,100,1.0,1,1.0,0.03,17,1000,509845.99343766196,5098.4599343766195,1.0,1097.6841868708698
random_roulette,100,100,1.0,1,1.0,0.03,18,1000,507679.66171543696,5076.796617154369,1.0,1295.3612498502869
random_roulette,100,100,1.0,1,1.0,0.03,19,1000,502887.7316526507,5028.877316526507,1.0,1354.8569950290075
random_roulette,100,100,1.0,1,1.0,0.03,20,1000,511363.5746237264,5113.635746237264,1.0,1163.9144663536447
random_roulette,100,100,1.0,1,1.0,0.03,21,1000,509188.1306798808,5091.881306798808,1.0,1360.6025921387472
random_roulette,100,100,1.0,1,1.0,0.03,22,1000,505887.79506451637,5058.877950645164,1.0,1203.8954929351162
random_roulette,100,100,1.0,1,1.0,0.03,23,1000,508178.5685700285,5081.785685700285,1.0,1269.4234785716926
random_roulette,100,100,1.0,1,1.0,0.03,24,1000,511588.1807561848,5115.881807561848,1.0,1261.3570021030985
random_roulette,100,100,1.0,1,1.0,0.03,25,1000,501377.46943626704,5013.774694362671,1.0,1057.5086316766804
random_roulette,100,100,1.0,1,1.0,0.03,26,1000,514860.46631736413,5148.604663173642,1.0,1262.816086963743
random_roulette,100,100,1.0,1,1.0,0.03,27,1000,504219.17142824497,5042.1917142824495,1.0,1108.4139997681953
