collision_policy,n_agents,n_arms,agent_to_arm_ratio,agents_per_arm,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
zero_on_collision,100,50,2.0,2,1.0,0.01,0,1000,97527.80517928538,975.2780517928538,1.0,1312.689817884909
zero_on_collision,100,50,2.0,2,1.0,0.01,1,1000,94466.7944621044,944.6679446210441,1.0,1273.0715749856427
zero_on_collision,100,50,2.0,2,1.0,0.01,2,1000,93561.82769801216,935.6182769801215,1.0,1252.5002616771526
zero_on_collision,100,50,2.0,2,1.0,0.01,3,1000,102307.44659058774,1023.0744659058774,1.0,1325.57245669154
zero_on_collision,100,50,2.0,2,1.0,0.01,4,1000,98139.24643048273,981.3924643048273,1.0,1292.6888244700442
zero_on_collision,100,50,2.0,2,1.0,0.01,5,1000,100263.42473830214,1002.6342473830214,1.0,1305.774512085545
zero_on_collision,100,50,2.0,2,1.0,0.01,6,1000,97710.61652929148,977.1061652929149,1.0,1315.3514377646957
zero_on_collision,100,50,2.0,2,1.0,0.01,7,1000,98212.5355406313,982.125355406313,1.0,1286.1257009899894
zero_on_collision,100,50,2.0,2,1.0,0.01,8,1000,100488.23683009787,1004.8823683009787,1.0,1326.5633508205835
zero_on_collision,100,50,2.0,2,1.0,0.01,9,1000,102567.60530693237,1025.6760530693236,1.0,1350.9865484314103
zero_on_collision,100,50,2.0,2,1.0,0.01,10,1000,96426.16389043887,964.2616389043886,1.0,1280.9498448996492
zero_on_collision,100,50,2.0,2,1.0,0.01,11,1000,97585.07074014751,975.8507074014751,1.0,1275.6595777238213
zero_on_collision,100,50,2.0,2,1.0,0.01,12,1000,99505.87862210466,995.0587862210466,1.0,1319.2604179063298
zero_on_collision,100,50,2.0,2,1.0,0.01,13,1000,99621.2312946895,996.2123129468949,1.0,1299.5663583101004
zero_on_collision,100,50,2.0,2,1.0,0.01,14,1000,100826.25867662292,1008.2625867662292,1.0,1337.9224733226056
zero_on_collision,100,50,2.0,2,1.0,0.01,15,1000,94753.90301805163,947.5390301805163,1.0,1268.689204958301
zero_on_collision,100,50,2.0,2,1.0,0.01,16,1000,95869.28489418203,958.6928489418202,1.0,1283.4151483950295
zero_on_collision,100,50,2.0,2,1.0,0.01,17,1000,101497.67546757664,1014.9767546757664,1.0,1330.3613135696103
zero_on_collision,100,50,2.0,2,1.0,0.01,18,1000,99165.12573272962,991.6512573272962,1.0,1318.7515245756067
zero_on_collision,100,50,2.0,2,1.0,0.01,19,1000,99717.63081461933,997.1763081461934,1.0,1305.119783995144
zero_on_collision,100,50,2.0,2,1.0,0.01,20,1000,94742.85672529004,947.4285672529004,1.0,1255.5556158542465
zero_on_collision,100,50,2.0,2,1.0,0.01,21,1000,101068.39685809653,1010.6839685809653,1.0,1326.5658441748653
zero_on_collision,100,50,2.0,2,1.0,0.01,22,1000,100438.55890969536,1004.3855890969536,1.0,1324.2841176593042
zero_on_collision,100,50,2.0,2,1.0,0.01,23,1000,99143.20097067086,991.4320097067086,1.0,1306.9630573410911
zero_on_collision,100,50,2.0,2,1.0,0.01,24,1000,101036.52507792805,1010.3652507792805,1.0,1325.5856627037679
zero_on_collision,100,50,2.0,2,1.0,0.01,25,1000,95805.04058796984,958.0504058796984,1.0,1265.349720300003
zero_on_collision,100,50,2.0,2,1.0,0.01,26,1000,100168.48604679856,1001.6848604679856,1.0,1324.5370554605904
zero_on_collision,100,50,2.0,2,1.0,0.01,27,1000,101250.88331627502,1012.5088331627502,1.0,1335.5201572573922
zero_on_collision,100,50,2.0,2,1.0,0.01,28,1000,94586.67783605611,945.8667783605612,1.0,1264.4995298703097
zero_on_collision,100,50,2.0,2,1.0,0.01,29,1000,99905.74914662982,999.0574914662982,1.0,1316.5700593358733
zero_on_collision,100,50,2.0,2,1.0,0.01,30,1000,98150.15729963881,981.5015729963882,1.0,1308.5096331147702
zero_on_collision,100,50,2.0,2,1.0,0.01,31,1000,97108.52868034145,971.0852868034145,1.0,1275.43343068314
zero_on_collision,100,50,2.0,2,1.0,0.01,32,1000,99786.20269307435,997.8620269307435,1.0,1315.3327088858543
zero_on_collision,100,50,2.0,2,1.0,0.01,33,1000,102890.81405971912,1028.9081405971913,1.0,1335.5998804188193
zero_on_collision,100,50,2.0,2,1.0,0.01,34,1000,101109.63679251395,1011.0963679251395,1.0,1336.1179466165888
zero_on_collision,100,50,2.0,2,1.0,0.01,35,1000,97911.93474798939,979.1193474798939,1.0,1319.0226396639432
