n_agents,n_arms,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
1,3,0.5,0.0,26,1000,1008.2002964234773,1008.2002964234773,0.0,0.0
1,3,0.5,0.0,27,1000,961.4305903415276,961.4305903415276,0.0,0.0
1,3,0.5,0.0,28,1000,993.3463954612937,993.3463954612937,0.0,0.0
1,3,0.5,0.0,29,1000,1004.1081870029973,1004.1081870029973,0.0,0.0
1,3,0.5,0.0,30,1000,1002.9930283560066,1002.9930283560066,0.0,0.0
1,3,0.5,0.0,31,1000,968.1173282558287,968.1173282558287,0.0,0.0
1,3,0.5,0.0,32,1000,1038.7224524241035,1038.7224524241035,0.0,0.0
1,3,0.5,0.0,33,1000,1029.1516879354076,1029.1516879354076,0.0,0.0
1,3,0.5,0.0,34,1000,988.8584810034376,988.8584810034376,0.0,0.0
1,3,0.5,0.0,35,1000,1016.2241995889225,1016.2241995889225,0.0,0.0
1,3,0.5,0.0,36,1000,1037.7930576220513,1037.7930576220513,0.0,0.0
1,3,0.5,0.0,37,1000,1008.9324495392913,1008.9324495392913,0.0,0.0
1,3,0.5,0.0,38,1000,972.281014427409,972.281014427409,0.0,0.0
1,3,0.5,0.0,39,1000,1010.9458100080801,1010.9458100080801,0.0,0.0
1,3,0.5,0.0,40,1000,981.6618824228495,981.6618824228495,0.0,0.0
1,3,0.5,0.0,41,1000,1004.4704129693711,1004.4704129693711,0.0,0.0
1,3,0.5,0.0,42,1000,1000.4945601481069,1000.4945601481069,0.0,0.0
1,3,0.5,0.0,43,1000,984.7375632783636,984.7375632783636,0.0,0.0
1,3,0.5,0.0,44,1000,1018.6036948835703,1018.6036948835703,0.0,0.0
1,3,0.5,0.0,45,1000,993.8462630822702,993.8462630822702,0.0,0.0
1,3,0.5,0.0,46,1000,1020.0915181920825,1020.0915181920825,0.0,0.0
1,3,0.5,0.0,47,1000,978.1812486172498,978.1812486172498,0.0,0.0
1,3,0.5,0.0,48,1000,982.666562755201,982.666562755201,0.0,0.0
1,3,0.5,0.0,49,1000,989.4498579121886,989.4498579121886,0.0,0.0
1,3,0.5,0.01,0,1000,1977.4836663715532,1977.4836663715532,0.0,0.0
1,3,0.5,0.01,1,1000,1689.6882068803354,1689.6882068803354,0.0,0.0
1,3,0.5,0.01,2,1000,1575.6965034432603,1575.6965034432603,0.0,0.0
1,3,0.5,0.01,3,1000,1473.0668006099495,1473.0668006099495,0.0,0.0
1,3,0.5,0.01,4,1000,1392.2244332970024,1392.2244332970024,0.0,0.0
1,3,0.5,0.01,5,1000,1818.254027014693,1818.254027014693,0.0,0.0
1,3,0.5,0.01,6,1000,1806.1176122573722,1806.1176122573722,0.0,0.0
1,3,0.5,0.01,7,1000,1800.7508497457916,1800.7508497457916,0.0,0.0
1,3,0.5,0.01,8,1000,1936.7803491312038,1936.7803491312038,0.0,0.0
1,3,0.5,0.01,9,1000,1980.1307088192905,1980.1307088192905,0.0,0.0
1,3,0.5,0.01,10,1000,1694.2843496177486,1694.2843496177486,0.0,0.0
1,3,0.5,0.01,11,1000,1981.3946462315166,1981.3946462315166,0.0,0.0
1,3,0.5,0.01,12,1000,1226.0046089045393,1226.0046089045393,0.0,0.0
1,3,0.5,0.01,13,1000,1941.6561104976317,1941.6561104976317,0.0,0.0
1,3,0.5,0.01,14,1000,1638.0449432348034,1638.0449432348034,0.0,0.0
1,3,0.5,0.01,15,1000,1961.6822888683612,1961.6822888683612,0.0,0.0
1,3,0.5,0.01,16,1000,1931.464336481264,1931.464336481264,0.0,0.0
1,3,0.5,0.01,17,1000,1315.6236968914627,1315.6236968914627,0.0,0.0
1,3,0.5,0.01,18,1000,1728.2551647843575,1728.2551647843575,0.0,0.0
1,3,0.5,0.01,19,1000,1974.7571174878922,1974.7571174878922,0.0,0.0
1,3,0.5,0.01,20,1000,1778.8128153969487,1778.8128153969487,0.0,0.0
1,3,0.5,0.01,21,1000,1882.0145705723305,1882.0145705723305,0.0,0.0
1,3,0.5,0.01,22,1000,1927.1779981722907,1927.1779981722907,0.0,0.0
1,3,0.5,0.01,23,1000,1916.98584674057,1916.98584674057,0.0,0.0
1,3,0.5,0.01,24,1000,1847.2266037764402,1847.2266037764402,0.0,0.0
1,3,0.5,0.01,25,1000,1304.8161001289761,1304.8161001289761,0.0,0.0
1,3,0.5,0.01,26,1000,1454.0128490765455,1454.0128490765455,0.0,0.0
1,3,0.5,0.01,27,1000,1802.03609494991,1802.03609494991,0.0,0.0
1,3,0.5,0.01,28,1000,1984.6903144517503,1984.6903144517503,0.0,0.0
1,3,0.5,0.01,29,1000,1510.9080331376172,1510.9080331376172,0.0,0.0
1,3,0.5,0.01,30,1000,1376.291589710935,1376.291589710935,0.0,0.0
1,3,0.5,0.01,31,1000,1907.9072887983953,1907.9072887983953,0.0,0.0
1,3,0.5,0.01,32,1000,1794.5571549225392,1794.5571549225392,0.0,0.0
1,3,0.5,0.01,33,1000,1166.8071479314165,1166.8071479314165,0.0,0.0
1,3,0.5,0.01,34,1000,1845.24924091562,1845.24924091562,0.0,0.0
1,3,0.5,0.01,35,1000,1759.6561655940252,1759.6561655940252,0.0,0.0
1,3,0.5,0.01,36,1000,1892.824729220614,1892.824729220614,0.0,0.0
1,3,0.5,0.01,37,1000,1807.4224490235415,1807.4224490235415,0.0,0.0
1,3,0.5,0.01,38,1000,1230.4414915757561,1230.4414915757561,0.0,0.0
1,3,0.5,0.01,39,1000,1908.8788295744423,1908.8788295744423,0.0,0.0
1,3,0.5,0.01,40,1000,1833.7662335832988,1833.7662335832988,0.0,0.0
1,3,0.5,0.01,41,1000,1849.351264256659,1849.351264256659,0.0,0.0
1,3,0.5,0.01,42,1000,1955.3953219759064,1955.3953219759064,0.0,0.0
1,3,0.5,0.01,43,1000,1627.116781262197,1627.116781262197,0.0,0.0
1,3,0.5,0.01,44,1000,1892.6872084508027,1892.6872084508027,0.0,0.0
1,3,0.5,0.01,45,1000,1865.5021911728015,1865.5021911728015,0.0,0.0
1,3,0.5,0.01,46,1000,1940.2149211326941,1940.2149211326941,0.0,0.0
1,3,0.5,0.01,47,1000,1861.1952717278436,1861.1952717278436,0.0,0.0
1,3,0.5,0.01,48,1000,1592.716894826911,1592.716894826911,0.0,0.0
1,3,0.5,0.01,49,1000,1376.8703612372656,1376.8703612372656,0.0,0.0
1,3,0.5,0.05,0,1000,1927.8629021863967,1927.8629021863967,0.0,0.0
1,3,0.5,0.05,1,1000,1827.5150981538509,1827.5150981538509,0.0,0.0
1,3,0.5,0.05,2,1000,1900.0524545491899,1900.0524545491899,0.0,0.0
1,3,0.5,0.05,3,1000,1941.2116388220074,1941.2116388220074,0.0,0.0
1,3,0.5,0.05,4,1000,1926.5364331946257,1926.5364331946257,0.0,0.0
1,3,0.5,0.05,5,1000,1961.4814400816174,1961.4814400816174,0.0,0.0
