n_agents,n_arms,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
2,3,0.1,7,1000,3316.610508457158,1658.305254228579,0.072,239.6301129001896
2,3,0.1,8,1000,3269.034625472831,1634.5173127364155,0.069,224.86460012036184
2,3,0.1,9,1000,3359.7094190412727,1679.8547095206363,0.072,212.57605463250638
2,3,0.1,10,1000,3183.9356077060065,1591.9678038530033,0.089,217.9791962257409
2,3,0.1,11,1000,3347.1368000268903,1673.5684000134452,0.092,239.43538993351763
2,3,0.1,12,1000,3062.8114750527157,1531.4057375263578,0.266,152.42642802508715
2,3,0.1,13,1000,3239.621103883145,1619.8105519415726,0.128,207.4624831114762
2,3,0.1,14,1000,3254.839700529052,1627.419850264526,0.114,218.61731075594275
2,3,0.1,15,1000,3403.021618121292,1701.510809060646,0.072,206.80699330733057
2,3,0.1,16,1000,3354.7361632879165,1677.3680816439582,0.076,201.14240640804132
2,3,0.1,17,1000,3327.3602621332166,1663.6801310666083,0.077,281.5002865533544
2,3,0.1,18,1000,2994.0272716421173,1497.0136358210586,0.091,328.4986808013482
2,3,0.1,19,1000,3228.950274284652,1614.475137142326,0.13,220.6966058553569
2,3,0.1,20,1000,3337.0519657155455,1668.5259828577728,0.068,208.1226119319423
2,3,0.1,21,1000,3295.9165318362975,1647.9582659181488,0.09,207.27435972171895
2,3,0.1,22,1000,3222.267175998241,1611.1335879991204,0.079,214.96909017659482
2,3,0.1,23,1000,3339.387901109735,1669.6939505548676,0.081,191.69451646758182
2,3,0.1,24,1000,3254.234340722303,1627.1171703611515,0.075,245.815379796534
2,3,0.1,25,1000,3338.423059409506,1669.211529704753,0.069,231.65150719050223
2,3,0.1,26,1000,3217.560706932011,1608.7803534660054,0.07,215.24343036144933
2,3,0.1,27,1000,3305.3717846025434,1652.6858923012717,0.061,258.9604299303712
2,3,0.1,28,1000,2871.3333747360884,1435.6666873680442,0.371,83.02321526084108
2,3,0.1,29,1000,3239.7788794742355,1619.8894397371178,0.106,208.78340049495122
2,3,0.1,30,1000,3187.2011973976414,1593.6005986988207,0.142,170.68890244751935
2,3,0.1,31,1000,3248.4994595928656,1624.2497297964328,0.087,233.60039693100407
2,3,0.1,32,1000,3327.3112563831783,1663.6556281915891,0.088,200.78122856754578
2,3,0.1,33,1000,3199.639237309015,1599.8196186545074,0.162,184.2231683692147
2,3,0.1,34,1000,3180.872910470108,1590.436455235054,0.093,227.10985396240733
2,3,0.1,35,1000,3361.399806020224,1680.699903010112,0.069,225.025621989839
2,3,0.1,36,1000,3347.788886558029,1673.8944432790145,0.077,239.83584350604588
