collision_policy,n_agents,n_arms,agent_to_arm_ratio,agents_per_arm,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
full_value,100,50,2.0,2,1.0,0.01,16,1000,293304.96172766667,2933.0496172766666,1.0,741.1891842521276
full_value,100,50,2.0,2,1.0,0.01,17,1000,323622.1710180358,3236.221710180358,1.0,557.2069605935035
full_value,100,50,2.0,2,1.0,0.01,18,1000,297199.93445712235,2971.9993445712234,1.0,727.0202598516279
full_value,100,50,2.0,2,1.0,0.01,19,1000,306799.99657002866,3067.9999657002863,1.0,631.3024499877421
full_value,100,50,2.0,2,1.0,0.01,20,1000,318389.09103385586,3183.8909103385586,1.0,681.5904823452869
full_value,100,50,2.0,2,1.0,0.01,21,1000,302495.2456212359,3024.9524562123593,1.0,646.8069235657955
full_value,100,50,2.0,2,1.0,0.01,22,1000,312286.6431960515,3122.8664319605145,1.0,666.29975435552
full_value,100,50,2.0,2,1.0,0.01,23,1000,317865.5145078228,3178.655145078228,1.0,573.9561594034277
full_value,100,50,2.0,2,1.0,0.01,24,1000,310198.1749854147,3101.981749854147,1.0,699.3981944543136
full_value,100,50,2.0,2,1.0,0.01,25,1000,323106.8927056281,3231.068927056281,1.0,637.8567070719644
full_value,100,50,2.0,2,1.0,0.01,26,1000,311510.54003457725,3115.1054003457725,1.0,649.2637752908241
full_value,100,50,2.0,2,1.0,0.01,27,1000,306795.7233800626,3067.957233800626,1.0,665.1326520406504
full_value,100,50,2.0,2,1.0,0.01,28,1000,319984.0223473381,3199.840223473381,1.0,604.3150168629334
full_value,100,50,2.0,2,1.0,0.01,29,1000,306346.1952595364,3063.461952595364,1.0,710.511135884261
full_value,100,50,2.0,2,1.0,0.01,30,1000,306587.5976223669,3065.875976223669,1.0,688.9844720522674
full_value,100,50,2.0,2,1.0,0.01,31,1000,311396.91759546945,3113.9691759546945,1.0,598.5277147091462
full_value,100,50,2.0,2,1.0,0.01,32,1000,305734.98309816263,3057.3498309816264,1.0,730.8606134107831
full_value,100,50,2.0,2,1.0,0.01,33,1000,315375.73877602065,3153.7573877602063,1.0,581.5147867058644
full_value,100,50,2.0,2,1.0,0.01,34,1000,301486.75264419086,3014.8675264419085,1.0,693.8232554739157
full_value,100,50,2.0,2,1.0,0.01,35,1000,310025.6734882118,3100.256734882118,1.0,709.4755737977811
full_value,100,50,2.0,2,1.0,0.01,36,1000,311210.2429510235,3112.102429510235,1.0,704.2781776096123
full_value,100,50,2.0,2,1.0,0.01,37,1000,316263.2823652296,3162.6328236522963,1.0,668.444974642354
full_value,100,50,2.0,2,1.0,0.01,38,1000,314358.2876209341,3143.5828762093406,1.0,638.603522969167
full_value,100,50,2.0,2,1.0,0.01,39,1000,324117.1897370078,3241.1718973700777,1.0,687.4398765776095
full_value,100,50,2.0,2,1.0,0.01,40,1000,302488.36283435905,3024.8836283435903,1.0,693.3496540914437
full_value,100,50,2.0,2,1.0,0.01,41,1000,315881.5789913514,3158.815789913514,1.0,663.6032196146693
full_value,100,50,2.0,2,1.0,0.01,42,1000,313158.7537856662,3131.587537856662,1.0,644.5285168836277
full_value,100,50,2.0,2,1.0,0.01,43,1000,314585.21472801646,3145.8521472801644,1.0,611.4153186985702
full_value,100,50,2.0,2,1.0,0.01,44,1000,312842.94052878284,3128.4294052878286,1.0,597.579861902514
full_value,100,50,2.0,2,1.0,0.01,45,1000,308216.73697020166,3082.1673697020165,1.0,703.6715381594369
full_value,100,50,2.0,2,1.0,0.01,46,1000,313731.0564026724,3137.3105640267236,1.0,595.2012640080976
full_value,100,50,2.0,2,1.0,0.01,47,1000,307530.6271237654,3075.306271237654,1.0,693.8634775953387
full_value,100,50,2.0,2,1.0,0.01,48,1000,304080.7997016156,3040.8079970161557,1.0,724.0721955749582
full_value,100,50,2.0,2,1.0,0.01,49,1000,301753.28850059875,3017.5328850059873,1.0,740.3637089641223
full_value,100,50,2.0,2,1.0,0.02,0,1000,362329.37654477224,3623.2937654477223,1.0,452.43692031371415
full_value,100,50,2.0,2,1.0,0.02,1,1000,353981.5194009605,3539.815194009605,1.0,460.0622728029761
full_value,100,50,2.0,2,1.0,0.02,2,1000,358245.4983583081,3582.4549835830812,1.0,378.64535626609927
full_value,100,50,2.0,2,1.0,0.02,3,1000,353323.57963631215,3533.2357963631216,1.0,397.1674824307559
full_value,100,50,2.0,2,1.0,0.02,4,1000,351680.07284707244,3516.8007284707246,1.0,404.09376859387083
full_value,100,50,2.0,2,1.0,0.02,5,1000,353211.06005542097,3532.1106005542097,1.0,500.5005723917223
full_value,100,50,2.0,2,1.0,0.02,6,1000,351564.26568489923,3515.6426568489924,1.0,438.9777821325163
full_value,100,50,2.0,2,1.0,0.02,7,1000,355396.7867125468,3553.967867125468,1.0,424.7516038239818
full_value,100,50,2.0,2,1.0,0.02,8,1000,352919.4619087171,3529.1946190871713,1.0,451.8356250708651
full_value,100,50,2.0,2,1.0,0.02,9,1000,352508.61582969583,3525.0861582969583,1.0,403.01764947216907
full_value,100,50,2.0,2,1.0,0.02,10,1000,352709.3787444679,3527.093787444679,1.0,483.0689743903941
full_value,100,50,2.0,2,1.0,0.02,11,1000,348721.14885205164,3487.2114885205165,1.0,490.06550110774975
full_value,100,50,2.0,2,1.0,0.02,12,1000,364248.4957345522,3642.484957345522,1.0,392.0537511315854
full_value,100,50,2.0,2,1.0,0.02,13,1000,353294.22300101595,3532.9422300101596,1.0,410.9398098897629
full_value,100,50,2.0,2,1.0,0.02,14,1000,348755.82231398334,3487.5582231398334,1.0,451.20874330690145
full_value,100,50,2.0,2,1.0,0.02,15,1000,351535.7299569062,3515.3572995690615,1.0,402.9741462012081
full_value,100,50,2.0,2,1.0,0.02,16,1000,356131.6233058738,3561.3162330587384,1.0,418.8131606135013
full_value,100,50,2.0,2,1.0,0.02,17,1000,360237.7523963115,3602.377523963115,1.0,442.6420117933842
full_value,100,50,2.0,2,1.0,0.02,18,1000,357214.1964782088,3572.141964782088,1.0,418.74521262906507
full_value,100,50,2.0,2,1.0,0.02,19,1000,348606.91404299287,3486.0691404299287,1.0,465.4816873489835
full_value,100,50,2.0,2,1.0,0.02,20,1000,355323.90301572427,3553.2390301572427,1.0,446.76634188789234
full_value,100,50,2.0,2,1.0,0.02,21,1000,356025.0384273511,3560.250384273511,1.0,439.1708764072183
full_value,100,50,2.0,2,1.0,0.02,22,1000,352249.4207072552,3522.494207072552,1.0,456.16189030632717
full_value,100,50,2.0,2,1.0,0.02,23,1000,351635.28491412074,3516.3528491412076,1.0,448.89147866333866
full_value,100,50,2.0,2,1.0,0.02,24,1000,357598.0060178403,3575.9800601784027,1.0,448.892609115257
full_value,100,50,2.0,2,1.0,0.02,25,1000,361300.14382399543,3613.0014382399545,1.0,478.80565274763137
full_value,100,50,2.0,2,1.0,0.02,26,1000,353744.5343958821,3537.445343958821,1.0,435.83721570388013
full_value,100,50,2.0,2,1.0,0.02,27,1000,350881.0743260899,3508.8107432608986,1.0,387.26659465000193
full_value,100,50,2.0,2,1.0,0.02,28,1000,359021.0209039253,3590.2102090392527,1.0,428.5393005826757
full_value,100,50,2.0,2,1.0,0.02,29,1000,354409.79370311706,3544.0979370311707,1.0,392.98534216890056
full_value,100,50,2.0,2,1.0,0.02,30,1000,356393.3719366238,3563.933719366238,1.0,358.5426844951682
full_value,100,50,2.0,2,1.0,0.02,31,1000,358720.08882420417,3587.200888242042,1.0,416.8890047386869
full_value,100,50,2.0,2,1.0,0.02,32,1000,358806.044240895,3588.06044240895,1.0,405.0734570169012
